work_id,name,artist_id,style,museum_id
29916,"Compote of Peaches and Pears, with Pitchers, on a Table",659,Expressionism,35
126109,Dahlias,659,Expressionism,
126164,Flower Vase and Fruits,659,Expressionism,
126175,"In the Park, Edge of the Seine",659,Expressionism,
126186,Lady Reading,659,Expressionism,
126285,Old Lady in White Seated,659,Expressionism,
126230,Reading at the Garden,659,Expressionism,
29918,Renoir and His Model,659,Expressionism,35
29920,"Renoir Painting His Family in His Studio at 73 Rue De Caulaincourt, Paris",659,Expressionism,
126294,Roses in a Glass,659,Expressionism,
